index,project,noOfBedRoom,propertyType,district,rent,mean_areaSqft,lat,long,rentCategory
615,EAST COAST RESIDENCES,3,Private Condominium,16.0,4475.0,1050.0,1.3142156580976048,103.93965813192722,Average
616,EAST GROVE,3,Private Condominium,15.0,3950.0,950.0,1.3089583212092344,103.91309761365513,Low
618,EAST MEADOWS,3,Private Condominium,16.0,4530.0,1240.0,1.3287148147677996,103.94475080162458,Average
619,EAST MEWS,3,Private Condominium,15.0,5000.0,1050.0,1.3032601126750332,103.899334014557,Average
620,EAST PALM,3,Private Condominium,15.0,6500.0,2350.0,1.3134007429985186,103.93148305585684,High
621,EAST SHINE,3,Private Condominium,14.0,4500.0,1050.0,1.3227233591719414,103.9097277661268,Average
622,EAST SIGNATURE,3,Private Condominium,15.0,4000.0,1050.0,1.3121828205012929,103.9318526675108,Low
624,EAST VIEW,3,Private Condominium,15.0,4250.0,1150.0,1.3038803098767495,103.90354024573254,Low
625,EAST VIEW 18,3,Private Condominium,15.0,4200.0,1150.0,1.313197678818151,103.9048035570248,Low
631,EASTERN LAGOON,3,Private Condominium,15.0,4775.0,1350.0,1.3140142658387943,103.93462545870428,Average
632,EASTERN RESIDENCE,3,Private Condominium,15.0,3500.0,1050.0,1.3148889085841604,103.90757186542989,Low
635,EASTPOINT GREEN,3,Private Condominium,18.0,4050.0,1150.0,1.3384694031950677,103.9504281780888,Low
636,EASTVALE,3,Executive Condominium,18.0,3980.0,1070.0,1.3746733609291923,103.95316771170856,Low
637,EASTWOOD CENTRE,3,Private Condominium,16.0,3800.0,1350.0,1.3213575489566096,103.95533395655912,Low
640,EBER GARDENS,3,Private Condominium,9.0,6300.0,1650.0,1.2986882006709275,103.8402689281732,High
643,ECHELON,3,Private Condominium,3.0,7137.777777777777,1050.0,1.2906965292676782,103.8179198248843,Extreme
646,ECO,3,Private Condominium,16.0,5625.0,1250.0,1.323918486310384,103.94520534753028,High
650,ECO SANCTUARY,3,Private Condominium,23.0,5130.0,990.0,1.3707729115459812,103.77565156362914,Average
651,ECOPOLITAN,3,Executive Condominium,19.0,5333.0,1050.0,1.400688960707259,103.89700766065548,High
654,EDELWEISS PARK CONDOMINIUM,3,Private Condominium,17.0,3933.3333333333335,1250.0,1.3565994506481809,103.96738685363196,Low
655,EDEN CREST,3,Private Condominium,19.0,3400.0,950.0,1.345019450044428,103.87199922565742,Low
657,EDEN VIEW,3,Private Condominium,19.0,4150.0,1050.0,1.3443225351821673,103.8725122744537,Low
661,EIGHT COURTYARDS,3,Private Condominium,27.0,4022.222222222222,1094.4444444444443,1.4388499513836583,103.83096233039667,Low
664,EIGHT RIVERSUITES,3,Private Condominium,12.0,4827.272727272727,1013.6363636363636,1.3216646803007093,103.86429534061104,Average
667,ELIZABETH TOWER,3,Private Condominium,9.0,6500.0,2050.0,1.3062053015922872,103.83630811443916,High
669,ELLIOT AT THE EAST COAST,3,Private Condominium,15.0,6262.5,1875.0,1.3112930046944566,103.93094709350328,High
674,EMERALD GARDEN,3,Private Condominium,1.0,6620.0,1430.0,1.281635933186675,103.84641194433382,High
675,EMERALD HILL CONSERVATION AREA,3,Private Condominium,9.0,3000.0,1150.0,1.3032660114492407,103.83793124972534,Low
677,EMERALD PARK,3,Private Condominium,3.0,5392.857142857143,1207.142857142857,1.290036527355847,103.83014562268043,High
678,EMERY POINT,3,Private Condominium,15.0,5450.0,1350.0,1.3115082599421166,103.89589173804428,High
683,EON SHENTON,3,Private Condominium,2.0,5500.0,750.0,1.2737943937944516,103.84627233393996,High
684,ESCADA VIEW,3,Private Condominium,14.0,3933.3333333333335,1216.6666666666667,1.3290666936437487,103.9135588509814,Low
686,ESPA,3,Private Condominium,23.0,5000.0,1250.0,1.3688521229680906,103.7655851032691,Average
691,ESPARINA RESIDENCES,3,Executive Condominium,19.0,4733.333333333333,1050.0,1.3818921965397952,103.89137407964444,Average
694,ESTA RUBY,3,Private Condominium,14.0,5150.0,1150.0,1.3138224995747756,103.89353466594262,Average
697,ESTELLA GARDENS,3,Private Condominium,17.0,4480.0,1430.0,1.360009056137658,103.9667440728816,Average
703,EUHABITAT,3,Private Condominium,14.0,4662.5,1175.0,1.3276719943889417,103.90736334463116,Average
705,EUNOS PARK,3,Private Condominium,14.0,3940.0,1210.0,1.318539038084499,103.906142580793,Low
707,EUPHONY GARDENS,3,Private Condominium,27.0,4500.0,1500.0,1.4257462525659694,103.82457155276391,Average
708,EURO-ASIA COURT,3,Private Condominium,9.0,5420.0,1330.0,1.294194601830144,103.83744375993568,High
709,EURO-ASIA LODGE,3,Private Condominium,15.0,5000.0,1350.0,1.3142389178848466,103.9020712155148,Average
711,EURO-ASIA PARK,3,Private Condominium,13.0,4200.0,1450.0,1.3367496905749434,103.86754934527396,Low
714,EVERGREEN PARK,3,Private Condominium,19.0,3860.0,1050.0,1.3696099916499271,103.89952090914944,Low
717,EWE BOON REGENT,3,Private Condominium,10.0,4200.0,1150.0,1.3164150281488805,103.8304250539306,Low
719,FABER CREST,3,Private Condominium,5.0,5028.571428571428,1307.142857142857,1.323294926180869,103.75729593518116,Average
721,FABER GARDEN CONDOMINIUM,3,Private Condominium,20.0,4337.5,1750.0,1.3633244258601749,103.83027529000914,Low
722,FAIRLODGE,3,Private Condominium,10.0,5000.0,1350.0,1.312075797302776,103.80156604534233,Average
723,FAIRMOUNT CONDOMINIUM,3,Private Condominium,16.0,5200.0,1550.0,1.3210366066000672,103.955819697187,Average
725,FAR HORIZON GARDENS,3,Private Condominium,20.0,4950.0,1950.0,1.3832922108314754,103.83913034484166,Average
727,FERNWOOD TOWERS,3,Private Condominium,15.0,4020.0,1350.0,1.309511479146518,103.9250893344644,Low
730,FERRARIA PARK CONDOMINIUM,3,Private Condominium,17.0,4250.0,1300.0,1.3583874738809547,103.96435338965348,Low
731,FERRELL RESIDENCES,3,Private Condominium,10.0,9000.0,1850.0,1.3176211821611514,103.83228039712913,Extreme
732,FIFTEEN ROBIN,3,Private Condominium,10.0,11000.0,1750.0,1.318099957857206,103.82856597112232,Extreme
737,FINLAND GARDENS,3,Private Condominium,15.0,3800.0,1350.0,1.310576230219397,103.92419482115116,Low
739,FLAME TREE PARK,3,Private Condominium,20.0,5200.0,1750.0,1.360916765267726,103.82905010792209,Average
741,FLAMINGO VALLEY,3,Private Condominium,15.0,5140.0,1210.0,1.317369837071611,103.923010433833,Average
744,FLO RESIDENCE,3,Private Condominium,19.0,4850.0,1230.0,1.3920418184556431,103.9136977594291,Average
746,FLORAVIEW,3,Private Condominium,20.0,3800.0,1050.0,1.3915835661875802,103.85066698897678,Low
750,FLORIDIAN,3,Private Condominium,21.0,9233.333333333334,1666.6666666666667,1.3331507643034053,103.7853558500866,Extreme
752,FONTAINE PARRY,3,Private Condominium,19.0,5250.0,1675.0,1.366906808230014,103.88000867733874,High
753,FONTANA HEIGHTS,3,Private Condominium,10.0,14540.0,>3000,1.315300249534874,103.77686698284788,Extreme
756,FORESQUE RESIDENCES,3,Private Condominium,23.0,5057.142857142857,1192.857142857143,1.3693450457564706,103.77655031199896,Average
758,FOREST HILLS CONDOMINIUM,3,Private Condominium,26.0,4200.0,1150.0,1.4042031308325715,103.8178358178983,Low
761,FOREST WOODS,3,Private Condominium,19.0,5280.0,970.0,1.351328672226798,103.87643062625116,High
762,FORESTVILLE,3,Executive Condominium,25.0,4440.0,1125.0,1.4319229923541048,103.79964490821646,Average
765,FORTE SUITES,3,Private Condominium,8.0,4700.0,650.0,1.3179044964995417,103.85191231227697,Average
766,FORTUNE JADE,3,Private Condominium,15.0,4500.0,1050.0,1.3099964897482552,103.89488762360372,Average
767,FORTUNE PARK,3,Private Condominium,19.0,4000.0,1250.0,1.3617665639008598,103.8907778810374,Low
770,FOURTH AVENUE RESIDENCES,3,Private Condominium,10.0,7250.0,1016.6666666666666,1.329260178049397,103.79692775356976,Extreme
771,FRAGRANCE COURT,3,Private Condominium,5.0,6500.0,1750.0,1.2773373697133403,103.79303460692992,High
772,FRAGRANT GARDENS,3,Private Condominium,19.0,4500.0,1250.0,1.3466612643931335,103.87958853943394,Average
774,FREESIA WOODS,3,Private Condominium,21.0,5850.0,1550.0,1.3239770401237358,103.76621983795816,High
777,FULCRUM,3,Private Condominium,15.0,7200.0,1350.0,1.298775403361674,103.88491691972662,Extreme
779,FUYUEN COURT,3,Private Condominium,14.0,3200.0,1150.0,1.3158620576492202,103.8890256361949,Low
780,GAIA,3,Private Condominium,12.0,3800.0,950.0,1.327770643493606,103.84379486463344,Low
