project,noOfBedRoom,rental_rent,mean_areaSqft
GEM RESIDENCES,2,3700.0,550.0
GEM RESIDENCES,3,5600.0,1050.0
GEYLANG HERITAGE,3,4400.0,1250.0
GILSTEAD COURT,3,4000.0,1350.0
GILSTEAD MANSION,3,5000.0,1550.0
GILSTEAD TWO,2,4950.0,800.0
GLASGOW RESIDENCE,2,3200.0,650.0
GLENDALE PARK,2,3800.0,1050.0
GLENDALE PARK,3,5250.0,1400.0
GLENTREES,2,4800.0,1350.0
GLENTREES,4,7500.0,>3000
GLOBAL VILLE,3,4100.0,1150.0
GLOUCESTER MANSIONS,3,4650.0,1150.0
GOLD COAST CONDOMINIUM,3,5733.333333333333,1583.3333333333333
GOLD PALM MANSIONS,2,3500.0,900.0
GOLD PALM MANSIONS,3,4600.0,1150.0
GOLDEN HEIGHTS,3,4700.0,1550.0
GOLDENHILL PARK CONDOMINIUM,2,4300.0,950.0
GOLDENHILL PARK CONDOMINIUM,3,5607.142857142857,1421.4285714285713
GOLDENHILL PARK CONDOMINIUM,4,7400.0,1550.0
GOODWOOD GRAND,2,5400.0,750.0
GOODWOOD RESIDENCE,2,5350.0,1150.0
GOODWOOD RESIDENCE,4,19150.0,2587.5
GRACIOUS MANSIONS,3,5381.0,1750.0
GRAMERCY PARK,2,8647.0,1250.0
GRAMERCY PARK,3,14666.666666666666,2050.0
GRAND CHATEAU,3,3500.0,1150.0
GRAND DUCHESS AT ST PATRICK'S,3,6000.0,1450.0
GRAND DUCHESS AT ST PATRICK'S,4,9700.0,1950.0
GRAND REGALIA,3,7000.0,2350.0
GRAND REGENCY,2,3000.0,850.0
GRANDE VISTA,3,3500.0,1250.0
GRANDE VISTA,4,6150.0,2750.0
GRANDEUR 8,2,4100.0,1150.0
GRANDEUR 8,3,4520.0,1270.0
GRANDEUR PARK RESIDENCES,1,3325.0,450.0
GRANDEUR PARK RESIDENCES,2,3955.5555555555557,594.4444444444445
GRANDEUR PARK RESIDENCES,3,6100.0,900.0
GRANDLINK SQUARE,3,3000.0,1150.0
GRANDVIEW SUITES,1,3375.0,800.0
GRANGE 70,3,7966.666666666667,1950.0
GRANGE 80,4,7200.0,2350.0
GRANGE HEIGHTS,3,7000.0,1550.0
GRANGE HEIGHTS,4,8883.333333333334,2666.6666666666665
GRANGE INFINITE,3,14000.0,2350.0
GRANGE INFINITE,4,14000.0,2550.0
GRANGE RESIDENCES,4,18075.0,2550.0
GROSVENOR VIEW,3,4400.0,1250.0
GUILIN MANSIONS,3,3450.0,1050.0
GUILIN VIEW,2,3800.0,850.0
GUILIN VIEW,3,3500.0,1250.0
GUILLEMARD EDGE,1,2772.222222222222,461.1111111111111
GUILLEMARD EDGE,2,3616.6666666666665,683.3333333333334
GUILLEMARD SUITES,1,3050.0,500.0
H2O RESIDENCES,2,3275.0,775.0
H2O RESIDENCES,3,4000.0,1050.0
HAIG 162,1,2733.3333333333335,383.3333333333333
HAIG COURT,2,4233.333333333333,1050.0
HAIG COURT,3,5325.0,1450.0
HAIG COURT,4,5700.0,1550.0
HALLMARK RESIDENCES,3,7200.0,1450.0
HANA,4,35000.0,>3000
HARBOUR SUITES,1,3150.0,450.0
HARBOUR SUITES,2,3400.0,650.0
HARBOUR VIEW GARDENS,2,4116.666666666667,616.6666666666666
HARBOUR VIEW GARDENS,3,5900.0,900.0
HARBOUR VIEW TOWERS,1,3650.0,750.0
HARBOUR VIEW TOWERS,3,5450.0,1516.6666666666667
HARBOURLIGHTS,2,4200.0,850.0
HARBOURLIGHTS,3,4700.0,1150.0
HARMONY @ 1A,3,3700.0,1250.0
HARVEST MANSIONS,2,4600.0,1050.0
HAWAII TOWER,3,6600.0,2250.0
HAZEL PARK CONDOMINIUM,2,3200.0,950.0
HAZEL PARK CONDOMINIUM,3,4500.0,1350.0
HEDGES PARK CONDOMINIUM,1,2950.0,450.0
HEDGES PARK CONDOMINIUM,2,3600.0,950.0
HELIOS RESIDENCES,3,10100.0,1750.0
HERITAGE APARTMENTS,4,17333.333333333332,>3000
HERITAGE EAST,1,2200.0,350.0
HERITAGE EAST,2,3700.0,650.0
HERITAGE VIEW,2,4631.25,950.0
HERITAGE VIEW,3,6228.125,1206.25
HERITAGE VIEW,4,13200.0,2650.0
HIGH OAK CONDOMINIUM,3,4500.0,1250.0
HIGH PARK RESIDENCES,1,2900.0,450.0
HIGH PARK RESIDENCES,2,3242.8571428571427,592.8571428571429
HIGH PARK RESIDENCES,3,3950.0,850.0
HIGH PARK RESIDENCES,4,4550.0,1250.0
HIGH POINT,4,10500.0,2950.0
HIGH STREET CENTRE,1,4740.0,530.0
HIGHGATE,2,4500.0,1350.0
HIGHGATE,3,4125.0,1325.0
HIGHLINE RESIDENCES,1,4483.333333333333,550.0
HIGHLINE RESIDENCES,2,5625.714285714285,678.5714285714286
HIGHLINE RESIDENCES,3,7506.666666666667,1050.0
HIJAUAN,3,4900.0,1150.0
HILBRE28,3,3200.0,850.0
HILLBROOKS,2,3200.0,850.0
HILLBROOKS,3,4200.0,1250.0
HILLCREST ARCADIA,2,5200.0,1450.0
HILLCREST ARCADIA,3,7700.0,1950.0
HILLCREST ARCADIA,4,7633.333333333333,2116.6666666666665
HILLINGTON GREEN,2,4680.0,1450.0
HILLINGTON GREEN,3,5383.333333333333,1483.3333333333333
HILLION RESIDENCES,2,3633.3333333333335,750.0
HILLION RESIDENCES,3,4700.0,1150.0
HILLS APARTMENT,4,16750.0,>3000
HILLS TWOONE,2,3400.0,550.0
HILLSTA,1,2950.0,550.0
HILLSTA,2,3641.6666666666665,850.0
HILLSTA,3,4783.333333333333,1116.6666666666667
HILLTOPS,2,9200.0,1250.0
HILLTOPS,3,16433.333333333332,1716.6666666666667
HILLVIEW 128,3,4500.0,1050.0
HILLVIEW GREEN,2,3750.0,1000.0
HILLVIEW GREEN,3,4800.0,1450.0
HILLVIEW HEIGHTS,2,3666.6666666666665,950.0
HILLVIEW HEIGHTS,3,3950.0,1200.0
HILLVIEW HEIGHTS,4,5750.0,1650.0
HILLVIEW PARK,3,4866.666666666667,1316.6666666666667
HILLVIEW REGENCY,2,3866.6666666666665,950.0
HILLVIEW REGENCY,3,4800.0,1150.0
HILLVISTA,3,4333.333333333333,1216.6666666666667
HOA NAM BUILDING,2,1900.0,850.0
HOLLAND 100,1,4750.0,900.0
HOLLAND COURT,3,6200.0,1350.0
HOLLAND GEMS,4,8750.0,2066.6666666666665
HOLLAND MEWS,4,7690.0,2100.0
HOLLAND PEAK,1,3000.0,550.0
HOLLAND RESIDENCES,3,8700.0,1450.0
HOLLYWOOD APARTMENTS,3,3500.0,950.0
HOMEY GARDENS,3,4000.0,1050.0
HORIZON RESIDENCES,2,5650.0,1050.0
HORIZON RESIDENCES,3,6800.0,1350.0
HORIZON TOWERS,4,9281.333333333334,2433.3333333333335
HOUGANG GREEN,3,4200.0,1150.0
HUA XIN COURT,3,6500.0,1950.0
HULLET RISE,3,6100.0,1250.0
HUME PARK I,3,4220.0,1190.0
HUME PARK II,2,3600.0,1050.0
HUME PARK II,3,4075.0,1275.0
HUNDRED TREES,1,2800.0,450.0
HUNDRED TREES,2,4500.0,850.0
HUNDRED TREES,3,6033.333333333333,1216.6666666666667
HUNDRED TREES,4,6900.0,1450.0
ICON,1,4552.85,620.0
ICON,2,6574.75,1062.5
ICON @ PASIR PANJANG,2,3500.0,450.0
IDYLLIC SUITES,1,2733.3333333333335,450.0
IDYLLIC SUITES,2,3400.0,550.0
ILLUMINAIRE ON DEVONSHIRE,2,4500.0,750.0
IMPERIAL HEIGHTS,1,3000.0,450.0
IMPERIAL HEIGHTS,2,4400.0,550.0
INTERO,3,4900.0,1050.0
INZ RESIDENCE,3,4000.0,1150.0
ISLAND VIEW,3,9900.0,>3000
ISUITES @ PALM,3,3650.0,1150.0
ISUITES @ TANI,1,2800.0,450.0
J C DRAYCOTT,2,4100.0,750.0
J GATEWAY,1,3805.0,510.0
J GATEWAY,2,4708.333333333333,677.7777777777778
J GATEWAY,3,5784.615384615385,911.5384615384615
J GATEWAY,4,7000.0,1250.0
JADE RESIDENCES,2,3560.0,583.3333333333334
JADE RESIDENCES,3,4050.0,800.0
JADE RESIDENCES,4,5800.0,1150.0
JADESCAPE,1,3704.5454545454545,550.0
JADESCAPE,2,4590.0,730.0
JADESCAPE,3,6400.0,1050.0
JALAN BESAR PLAZA,2,4000.0,950.0
JANSEN 28,3,4500.0,1650.0
JARDIN,2,5033.333333333333,1116.6666666666667
JARDIN,3,7500.0,1500.0
JERSEY LODGE,3,4420.0,1150.0
JERVOIS LODGE,3,5633.333333333333,1216.6666666666667
JERVOIS LODGE,4,7500.0,1550.0
JEWEL @ BUANGKOK,1,3000.0,450.0
JEWEL @ BUANGKOK,2,3550.0,733.3333333333334
JEWEL @ BUANGKOK,3,4433.333333333333,1016.6666666666666
JOOL SUITES,1,1850.0,650.0
JUBILEE RESIDENCE,1,2800.0,450.0
JUI RESIDENCES,1,3400.0,450.0
JUI RESIDENCES,2,4000.0,650.0
JUI RESIDENCES,3,5350.0,1000.0
JUNIPER HILL,3,7000.0,950.0
JUPITER 18,1,2825.0,600.0
JUPITER 18,2,3500.0,650.0
KALLANG RIVERSIDE,1,4400.0,750.0
KALLANG RIVERSIDE,2,6050.0,1025.0
KALLANG RIVERSIDE,3,7000.0,1150.0
KANDIS RESIDENCE,1,2788.0,450.0
KANDIS RESIDENCE,2,3300.0,750.0
KAP RESIDENCES,1,3300.0,550.0
KAP RESIDENCES,2,4016.6666666666665,816.6666666666666
KASTURINA LODGE,2,4800.0,750.0
KATONG REGENCY,1,3672.5,600.0
KATONG REGENCY,2,5275.0,1025.0
KATONG REGENCY,3,7266.666666666667,1550.0
KELIVILLE,3,4500.0,1650.0
KELIVILLE,4,6300.0,>3000
KENSINGTON PARK CONDOMINIUM,3,4521.428571428572,1678.5714285714287
KENSINGTON SQUARE,1,2800.0,450.0
KENSINGTON SQUARE,2,3600.0,950.0
KENT RIDGE HILL RESIDENCES,1,3522.0588235294117,491.1764705882353
KENT RIDGE HILL RESIDENCES,2,4606.451612903225,724.1935483870968
KENT RIDGE HILL RESIDENCES,3,6225.0,975.0
KENT RIDGE HILL RESIDENCES,5,9000.0,1750.0
KENTISH LODGE,2,4200.0,950.0
KENTVIEW PARK,3,4350.0,1250.0
KERRISDALE,2,4700.0,950.0
KERRISDALE,3,5443.75,1250.0
KERRISDALE,4,5850.0,1450.0
KIM KEAT GARDENS,3,4900.0,1350.0
KIM SIA COURT,2,3600.0,1050.0
KIM SIA COURT,3,5266.666666666667,1450.0
KING'S ARCADE,2,3800.0,1250.0
KING'S MANSION,3,4500.0,1650.0
KING'S MANSION,4,7800.0,2750.0
KINGSFORD . HILLVIEW PEAK,1,3068.75,550.0
KINGSFORD . HILLVIEW PEAK,2,3916.6666666666665,816.6666666666666
KINGSFORD . HILLVIEW PEAK,3,5800.0,1350.0
KINGSFORD WATERBAY,1,2683.3333333333335,450.0
KINGSFORD WATERBAY,2,3362.5,650.0
KINGSFORD WATERBAY,3,3890.0,870.0
KINGSGROVE,3,3300.0,1650.0
KINGSLEY MANSIONS,2,3800.0,1150.0
KINGSLEY MANSIONS,3,3700.0,1350.0
KISMIS COURT,3,3500.0,1950.0
KOVAN CREST,3,3800.0,1350.0
KOVAN GRANDEUR,2,3166.6666666666665,816.6666666666666
KOVAN MELODY,2,4200.0,1016.6666666666666
KOVAN MELODY,3,5207.692307692308,1296.1538461538462
KOVAN MELODY,4,7300.0,1450.0
KOVAN PRIMERA,3,4400.0,1650.0
KOVAN REGENCY,1,3050.0,575.0
KOVAN REGENCY,2,4000.0,650.0
KOVAN REGENCY,3,5250.0,1066.6666666666667
KOVAN REGENCY,4,6300.0,1250.0
KOVAN RESIDENCES,2,4250.0,850.0
KOVAN RESIDENCES,3,5650.0,1375.0
KOVAN RESIDENCES,4,6300.0,1450.0
L'VIV,1,3300.0,650.0
LA BRISA,1,2925.0,450.0
LA BRISA,2,3525.0,625.0
LA CASA,3,4033.3333333333335,1150.0
LA CRYSTAL,2,4500.0,950.0
LA FIESTA,1,2750.0,450.0
LA FIESTA,2,3707.1428571428573,750.0
LA FIESTA,3,4050.0,850.0
LA FIESTA,4,5500.0,1200.0
LA FLEUR,1,2800.0,450.0
LA SUISSE,3,7783.333333333333,2250.0
LA VIDA @ 130,1,2750.0,450.0
LAGUNA 88,3,3900.0,1216.6666666666667
LAGUNA GREEN,2,6500.0,2050.0
LAKE GRANDE,1,3327.2727272727275,486.3636363636364
LAKE GRANDE,2,4569.565217391304,741.304347826087
LAKE GRANDE,3,5300.0,950.0
LAKE GRANDE,4,6900.0,1183.3333333333333
LAKE LIFE,3,4900.0,1100.0
LAKE LIFE,4,6233.333333333333,1233.3333333333333
LAKEHOLMZ,2,3950.0,1175.0
LAKEHOLMZ,4,6600.0,1550.0
LAKEVILLE,1,3500.0,550.0
LAKEVILLE,2,4158.823529411765,720.5882352941177
LAKEVILLE,3,6045.833333333333,1091.6666666666667
LAKEVILLE,4,7950.0,1300.0
LAKEVILLE,5,7800.0,1550.0
LANDBAY CONDOMINIUM,2,3750.0,1050.0
LANDBAY CONDOMINIUM,3,4600.0,1250.0
LANDRIDGE CONDOMINIUM,3,5200.0,1750.0
LATITUDE,2,8475.0,1400.0
LATITUDE,3,10000.0,1650.0
LATITUDE,4,17000.0,2750.0
LATTICE ONE,2,3566.6666666666665,583.3333333333334
LAUREL TREE,1,3066.6666666666665,450.0
LE CRESCENDO,2,3850.0,950.0
LE HILL CONDOMINIUM,2,4100.0,1000.0
LE HILL CONDOMINIUM,3,5000.0,1250.0
LE LOYANG,3,3800.0,1150.0
LE MERRITT,3,4500.0,950.0
LE QUEST,1,3150.0,450.0
LE QUEST,2,4000.0,675.0
LE QUEST,3,4800.0,900.0
LE REGAL,1,2500.0,350.0
LE REVE,2,4000.0,850.0
LE REVE,3,5500.0,1050.0
LE SHANTIER,3,5000.0,1650.0
LE SOMME,1,4000.0,1250.0
LE WILKIE,3,5866.666666666667,1150.0
LEEDON 2,2,4100.0,800.0
LEEDON RESIDENCE,2,6850.0,1050.0
LEEDON RESIDENCE,3,16200.0,2150.0
LEEDON RESIDENCE,4,17666.666666666668,2650.0
LEEDON RESIDENCE,5,28500.0,>3000
LEGENDA AT JOO CHIAT,2,5000.0,1050.0
LEGENDA AT JOO CHIAT,3,6500.0,1450.0
LEICESTER LODGE,3,4500.0,1350.0
LEIGHWOODS,3,7800.0,2250.0
LEITH GROVE,2,4000.0,1550.0
LEONIE CONDOTEL,4,11981.25,2706.25
LEONIE GARDENS,3,7800.0,1750.0
LEONIE GARDENS,4,9000.0,2550.0
LEONIE HILL RESIDENCES,3,8600.0,1450.0
LEONIE PARC VIEW,4,12500.0,2050.0
LEONIE SUITES,1,4000.0,650.0
LEONIE SUITES,2,5333.333333333333,950.0
LEONIE TOWERS,4,10960.0,2980.0
LEVENUE,1,3000.0,450.0
LEVENUE,2,3150.0,500.0
LEVILLE ISUITES,1,2600.0,350.0
LIBERTE,2,4600.0,750.0
LIIV RESIDENCES,2,4700.0,550.0
LILYDALE,3,3825.0,1183.3333333333333
LINCOLN SUITES,1,3800.0,550.0
LINCOLN SUITES,2,5400.0,1050.0
LINCOLN SUITES,3,7275.0,1350.0
LIV ON SOPHIA,2,3900.0,550.0
LIV ON WILKIE,2,3400.0,550.0
LIV ON WILKIE,3,4500.0,750.0
LIVIA,2,3475.0,900.0
LIVIA,3,4800.0,1283.3333333333333
LIVIA,4,5526.666666666667,1550.0
LLOYD MANSION,3,1300.0,1050.0
LLOYD SIXTYFIVE,2,10500.0,1450.0
LLOYD SIXTYFIVE,3,18500.0,1950.0
LOFT @ NATHAN,1,3024.1666666666665,416.6666666666667
LOFT @ NATHAN,2,4600.0,950.0
LOFT @ RANGOON,1,2975.0,450.0
LOFT @ STEVENS,1,3383.3333333333335,416.6666666666667
LOFT @ STEVENS,2,4400.0,650.0
LOFT@HOLLAND,1,3731.8,370.0
LOTUS AT JOO CHIAT,3,7000.0,1350.0
LOTUS AT PAYA LEBAR (EAST WING),2,5216.666666666667,916.6666666666666
LOYANG VALLEY,2,4033.3333333333335,1483.3333333333333
LOYANG VALLEY,3,4292.857142857143,1907.142857142857
LUCIDA,2,5000.0,1050.0
LUCIDA,3,6000.0,1350.0
LUCKY PLAZA APARTMENTS,2,4666.666666666667,850.0
LUCKY PLAZA APARTMENTS,3,7133.333333333333,1583.3333333333333
LUMA,2,6200.0,1150.0
LUMIERE,1,4080.0,650.0
LUSH ACRES,4,1400.0,1250.0
LUXE VILLE,3,5800.0,1450.0
LUXURY APARTMENTS,4,9500.0,>3000
M66,1,2450.0,450.0
M66,2,3400.0,1100.0
MACKENZIE 138,1,3100.0,650.0
MACKENZIE 88,1,3000.0,450.0
MACKENZIE REGENCY,3,5500.0,1050.0
MADISON RESIDENCES,3,8300.0,1450.0
MALVERN SPRINGS,3,7500.0,1350.0
MANDALE HEIGHTS,4,5300.0,1350.0
MANDARIN GARDENS,1,3140.0,750.0
MANDARIN GARDENS,2,3250.0,850.0
MANDARIN GARDENS,3,6020.0,1850.0
MAPLE WOODS,2,4528.571428571428,921.4285714285714
MAPLE WOODS,3,6150.0,1521.4285714285713
MAPLE WOODS,4,12150.0,2950.0
MARGARET VILLE,1,3975.0,500.0
MARGARET VILLE,2,4800.0,650.0
MARINA BAY RESIDENCES,1,5700.0,750.0
MARINA BAY RESIDENCES,2,8340.0,1130.0
MARINA BAY RESIDENCES,3,12050.0,1725.0
MARINA BAY RESIDENCES,4,17750.0,2350.0
MARINA BAY RESIDENCES,5,42000.0,>3000
MARINA BAY SUITES,3,9950.0,1650.0
MARINA BAY SUITES,4,14816.666666666666,2250.0
MARINA COLLECTION,3,9000.0,1850.0
MARINA COLLECTION,4,11400.0,2150.0
MARINA ONE RESIDENCES,1,5461.347826086957,693.4782608695652
MARINA ONE RESIDENCES,2,7944.444444444444,1138.888888888889
MARINA ONE RESIDENCES,3,11742.857142857143,1550.0
MARINA ONE RESIDENCES,4,12500.0,2050.0
MARINE BLUE,1,4033.3333333333335,683.3333333333334
MARTIA RESIDENCE,2,4400.0,950.0
MARTIN MODERN,2,7375.0,800.0
MARTIN MODERN,3,9500.0,1050.0
MARTIN MODERN,4,20000.0,1750.0
MARTIN NO 38,2,8266.666666666666,1150.0
MARTIN PLACE RESIDENCES,1,4516.666666666667,550.0
MARTIN PLACE RESIDENCES,2,6600.0,1100.0
MARTIN PLACE RESIDENCES,3,10191.666666666666,1650.0
MARTIN PLACE RESIDENCES,4,13500.0,1850.0
MARYMOUNT VIEW,3,4550.0,1250.0
MAYFAIR MODERN,1,3620.0,570.0
MAYFAIR MODERN,2,5020.0,810.0
MAYFAIR MODERN,3,5800.0,950.0
MAYSPRINGS,2,3628.5714285714284,892.8571428571429
MAYSPRINGS,3,4387.5,1325.0
MEADOWS @ PEIRCE,1,3000.0,650.0
MEADOWS @ PEIRCE,2,3766.6666666666665,950.0
MEADOWS @ PEIRCE,3,4260.0,1570.0
MEADOWS @ PEIRCE,4,6433.333333333333,2300.0
MEADOWS @ PEIRCE,5,7300.0,2550.0
MEDGE,3,4200.0,850.0
MEIER SUITES,3,8360.0,>3000
MEIER SUITES,4,10000.0,2250.0
MELOSA,1,3200.0,450.0
MELOSA,2,2900.0,450.0
MELROSE PARK,3,7450.0,1500.0
MELROSE PARK,4,10000.0,1750.0
MELVILLE PARK,2,3608.823529411765,979.4117647058823
MELVILLE PARK,3,4210.0,1240.0
MENDON SPRING,2,5400.0,1050.0
MERA EAST,3,5200.0,1250.0
MERA SPRINGS,3,5500.0,1250.0
MERAPRIME,2,5300.0,850.0
MERAPRIME,3,6983.333333333333,1183.3333333333333
MERAPRIME,4,7150.0,1350.0
MERAWOODS,2,3300.0,1050.0
MERAWOODS,3,4866.666666666667,1350.0
MERGUI MANSIONS,3,3475.0,1400.0
MERIDIAN 38,3,2000.0,1150.0
METRO LOFT,1,2970.0,450.0
MEYER PARK,3,5700.0,1850.0
MEYER RESIDENCE,2,4725.0,1000.0
MEYERHOUSE,4,19000.0,2850.0
MIAPLACE,2,2900.0,850.0
MIDTOWN RESIDENCES,1,3100.0,450.0
MIDTOWN RESIDENCES,2,3600.0,650.0
MIDTOWN RESIDENCES,3,4000.0,650.0
MILL POINT,1,3500.0,550.0
MILL POINT,2,5650.0,1000.0
MILLAGE,1,2800.0,450.0
MILLAGE,2,3150.0,550.0
MIMOSA PARK,4,4600.0,1750.0
MIRAGE TOWER,1,3400.0,550.0
MIRAGE TOWER,2,4633.333333333333,950.0
MIRAGE TOWER,3,6166.666666666667,1266.6666666666667
MIRO,2,5600.0,1350.0
MIRO,3,7500.0,1950.0
MIRO,4,17000.0,>3000
MODA,2,6000.0,950.0
MODENA,2,3100.0,950.0
MON JERVOIS,2,5133.333333333333,850.0
MON JERVOIS,3,7200.0,1450.0
MONTEBLEU,1,3100.0,550.0
MONTEBLEU,2,4100.0,850.0
MONTEBLEU,3,6000.0,1250.0
MONTEREY PARK CONDOMINIUM,2,4300.0,1050.0
MONTEREY PARK CONDOMINIUM,3,5366.666666666667,1416.6666666666667
MONTEREY PARK CONDOMINIUM,4,6000.0,1650.0
MONTROSA,3,2800.0,1150.0
MONTVIEW,2,4600.0,1250.0
MONTVIEW,4,8300.0,1750.0
MOONSTONE RESIDENCES,3,4800.0,1250.0
MOONSTONE VIEW,3,4575.0,1100.0
MORIMASA GARDENS,3,7500.0,1850.0
MORIMASA GARDENS,4,8200.0,2650.0
MOUNT FABER LODGE,3,7550.0,2450.0
MOUNT SOPHIA SUITES,1,3500.0,550.0
MOUNT SOPHIA SUITES,2,3875.0,600.0
MOUNTBATTEN LODGE,1,2400.0,350.0
MOUNTBATTEN LODGE,2,3000.0,750.0
MURANO,2,4233.333333333333,850.0
MURANO,3,6000.0,1050.0
MUTIARA VIEW,3,4850.0,1150.0
MY MANHATTAN,1,3416.6666666666665,550.0
MY MANHATTAN,2,4000.0,850.0
MY MANHATTAN,4,5300.0,1950.0
NASSIM JADE,3,16000.0,>3000
NASSIM MANSION,4,19950.0,>3000
NASSIM PARK RESIDENCES,4,39500.0,>3000
NASSIM REGENCY,3,12475.0,2083.3333333333335
NASSIMVILLE,3,13800.0,2250.0
NATHAN PLACE,2,6000.0,1150.0
NATHAN RESIDENCES,1,3700.0,550.0
NATHAN RESIDENCES,2,4900.0,750.0
NATHAN SUITES,3,8500.0,1750.0
NATHAN SUITES,4,12800.0,2050.0
NATURA@HILLVIEW,1,2800.0,450.0
NATURA@HILLVIEW,2,3350.0,750.0
NATURA@HILLVIEW,3,4300.0,650.0
NAUNG RESIDENCE,2,2850.0,550.0
NEEM TREE,1,3000.0,483.3333333333333
NEEM TREE,2,4000.0,750.0
NESS,2,3200.0,850.0
NEW COURT,3,4950.0,1150.0
NEW FUTURA,4,23000.0,2250.0
NEWEST,1,2875.0,525.0
NEWEST,2,3787.5,700.0
NEWEST,4,5600.0,2550.0
NEWTON 18,2,5050.0,950.0
NEWTON 18,3,6000.0,1250.0
NEWTON 21,3,7075.0,1300.0
NEWTON EDGE,1,3100.0,450.0
NEWTON EDGE,2,4500.0,850.0
NEWTON GEMS,1,4000.0,650.0
NEWTON GEMS,2,5200.0,950.0
NEWTON GEMS,3,7100.0,1450.0
NEWTON GEMS,4,9200.0,1900.0
NEWTON ONE,2,6800.0,1250.0
NEWTON ONE,3,19700.0,2425.0
NEWTON SUITES,2,4880.0,750.0
NEWTON SUITES,3,7000.0,1250.0
NIM GARDENS,3,4300.0,1850.0
NIN RESIDENCE,1,2700.0,475.0
NIN RESIDENCE,2,4450.0,1350.0
NIN RESIDENCE,3,6000.0,1350.0
NINE RESIDENCES,1,2950.0,550.0
NINE RESIDENCES,2,3450.0,700.0
NINE RESIDENCES,3,4250.0,950.0
NINETEEN SHELFORD ROAD,1,3350.0,683.3333333333334
NINETEEN SHELFORD ROAD,2,4333.333333333333,933.3333333333334
NINETEEN SHELFORD ROAD,3,5000.0,1050.0
NIVEN LOFT,3,6000.0,2250.0
NIVEN SUITES,1,3500.0,550.0
NOMU,1,4000.0,450.0
NON-LANDED HOUSING DEVELOPMENT,1,3140.0,550.0
NON-LANDED HOUSING DEVELOPMENT,2,3725.315789473684,881.578947368421
NON-LANDED HOUSING DEVELOPMENT,3,4777.458333333333,1287.5
NON-LANDED HOUSING DEVELOPMENT,4,8675.0,2325.0
NORTH PARK RESIDENCES,1,3400.0,550.0
NORTH PARK RESIDENCES,2,4037.5,693.75
NORTH PARK RESIDENCES,3,5135.714285714285,950.0
NORTHOAKS,3,3920.0,1330.0
NORTHVALE,1,3000.0,650.0
NORTHVALE,2,3580.0,1050.0
NORTHVALE,3,4166.666666666667,1283.3333333333333
NOTTINGHILL SUITES,1,2625.0,350.0
NOTTINGHILL SUITES,2,2700.0,550.0
NOUVEL 18,3,13000.0,1750.0
NOUVELLE PARK,3,3450.0,1300.0
NOVA 48,3,5200.0,1050.0
NOVA 88,3,5500.0,1850.0
NOVELIS,2,4000.0,850.0
NOVENA LODGE,3,3750.0,950.0
NOVENA REGENCY,1,2950.0,450.0
NOVENA REGENCY,2,3533.3333333333335,583.3333333333334
NOVENA SUITES,1,4150.0,700.0
NOVENA SUITES,2,5500.0,950.0
NUOVO,3,4666.666666666667,1383.3333333333333
NV RESIDENCES,1,2500.0,450.0
NV RESIDENCES,2,3714.285714285714,807.1428571428571
NV RESIDENCES,3,4200.0,1150.0
NYON,3,7500.0,1250.0
OASIS @ ELIAS,2,3400.0,950.0
OASIS @ ELIAS,3,4750.0,1250.0
OASIS GARDEN,2,4400.0,950.0
OASIS GARDEN,3,4700.0,1250.0
OASIS GARDEN,4,5000.0,1450.0
OKIO,1,2900.0,450.0
OLEANAS RESIDENCE,3,6300.0,1225.0
OLEANAS RESIDENCE,4,7866.666666666667,1716.6666666666667
OLEANDER TOWERS,2,3850.0,850.0
OLEANDER TOWERS,3,4166.666666666667,1183.3333333333333
OLEANDER TOWERS,4,5800.0,2550.0
ONE AMBER,1,3775.0,550.0
ONE AMBER,2,5000.0,950.0
ONE AMBER,3,6450.0,1325.0
ONE AMBER,4,7787.5,1725.0
ONE BALMORAL,1,4600.0,550.0
ONE BALMORAL,2,5700.0,950.0
ONE BALMORAL,3,8400.0,1450.0
ONE CHATSWORTH,5,14500.0,>3000
ONE DEVONSHIRE,2,6500.0,950.0
ONE DEVONSHIRE,3,8350.0,1250.0
ONE DEVONSHIRE,4,13500.0,2350.0
ONE DUCHESS,2,3200.0,750.0
ONE DUSUN RESIDENCES,2,3330.0,550.0
ONE FORT,3,5000.0,1250.0
ONE JERVOIS,2,5340.0,970.0
ONE JERVOIS,3,8750.0,1600.0
ONE JERVOIS,4,12500.0,2950.0
ONE LEICESTER,2,3400.0,950.0
ONE LEICESTER,3,5433.333333333333,1250.0
ONE OXLEY RISE,1,4200.0,750.0
ONE OXLEY RISE,2,5300.0,1100.0
ONE OXLEY RISE,3,6100.0,1050.0
ONE SHENTON,1,4934.8,630.0
ONE SHENTON,2,6700.0,1100.0
ONE SHENTON,3,10000.0,1650.0
ONE ST MICHAEL'S,2,3400.0,950.0
ONE TREE HILL RESIDENCE,2,4800.0,1050.0
ONE-NORTH RESIDENCES,1,3850.0,800.0
ONE-NORTH RESIDENCES,2,5000.0,1016.6666666666666
ONEROBEY,2,2300.0,350.0
ONZE @ TANJONG PAGAR,1,3850.0,550.0
ONZE @ TANJONG PAGAR,3,4200.0,1150.0
OPTIMA @ TANAH MERAH,1,3100.0,450.0
OPTIMA @ TANAH MERAH,2,3992.8571428571427,935.7142857142857
ORCHARD SCOTTS,2,7000.0,950.0
ORCHARD SCOTTS,3,10000.0,2150.0
ORCHARD SCOTTS,4,13000.0,2450.0
